case,kind,event_id,peak,init,month,start,end,n_days,peak_anom_K,mean_anom_K,obs_event
control_03_20230330,control,3,2023-03-30T00:00:00,2023-03-09T00:00:00,3,,,0,-1.833045482635498,-1.833045482635498,0
control_04_20240329,control,4,2024-03-29T00:00:00,2024-03-08T00:00:00,3,,,0,0.032991234213113785,0.032991234213113785,0
control_05_20250526,control,5,2025-05-26T00:00:00,2025-05-05T00:00:00,5,,,0,0.19847407937049866,0.19847407937049866,0
control_06_20241122,control,6,2024-11-22T00:00:00,2024-11-01T00:00:00,11,,,0,0.33448150753974915,0.33448150753974915,0
control_07_20221128,control,7,2022-11-28T00:00:00,2022-11-07T00:00:00,11,,,0,1.1416982412338257,1.1416982412338257,0
control_08_20240110,control,8,2024-01-10T00:00:00,2023-12-20T00:00:00,1,,,0,0.7198925614356995,0.7198925614356995,0
control_09_20250126,control,9,2025-01-26T00:00:00,2025-01-05T00:00:00,1,,,0,-0.7100231647491455,-0.7100231647491455,0
control_10_20250125,control,10,2025-01-25T00:00:00,2025-01-04T00:00:00,1,,,0,-1.7124075889587402,-1.7124075889587402,0
control_11_20220221,control,11,2022-02-21T00:00:00,2022-01-31T00:00:00,2,,,0,0.9428073167800903,0.9428073167800903,0
control_12_20250215,control,12,2025-02-15T00:00:00,2025-01-25T00:00:00,2,,,0,-0.5919331312179565,-0.5919331312179565,0
control_13_20250408,control,13,2025-04-08T00:00:00,2025-03-18T00:00:00,4,,,0,-1.1433210372924805,-1.1433210372924805,0
control_14_20251019,control,14,2025-10-19T00:00:00,2025-09-28T00:00:00,10,,,0,1.5019584894180298,1.5019584894180298,0
control_15_20251102,control,15,2025-11-02T00:00:00,2025-10-12T00:00:00,11,,,0,0.44561824202537537,0.44561824202537537,0
control_16_20241121,control,16,2024-11-21T00:00:00,2024-10-31T00:00:00,11,,,0,0.3231598436832428,0.3231598436832428,0
control_17_20221207,control,17,2022-12-07T00:00:00,2022-11-16T00:00:00,12,,,0,1.7716341018676758,1.7716341018676758,0
control_18_20241202,control,18,2024-12-02T00:00:00,2024-11-11T00:00:00,12,,,0,-1.90510892868042,-1.90510892868042,0
control_19_20221205,control,19,2022-12-05T00:00:00,2022-11-14T00:00:00,12,,,0,1.0945467948913574,1.0945467948913574,0
control_20_20230127,control,20,2023-01-27T00:00:00,2023-01-06T00:00:00,1,,,0,-0.13757893443107605,-0.13757893443107605,0
control_21_20220201,control,21,2022-02-01T00:00:00,2022-01-11T00:00:00,2,,,0,0.5878798365592957,0.5878798365592957,0
control_22_20220219,control,22,2022-02-19T00:00:00,2022-01-29T00:00:00,2,,,0,-1.129416584968567,-1.129416584968567,0
control_23_20220202,control,23,2022-02-02T00:00:00,2022-01-12T00:00:00,2,,,0,-0.5281670093536377,-0.5281670093536377,0
control_24_20230327,control,24,2023-03-27T00:00:00,2023-03-06T00:00:00,3,,,0,-1.2476181983947754,-1.2476181983947754,0
control_25_20230320,control,25,2023-03-20T00:00:00,2023-02-27T00:00:00,3,,,0,-3.0998029708862305,-3.0998029708862305,0
control_26_20220428,control,26,2022-04-28T00:00:00,2022-04-07T00:00:00,4,,,0,-0.950381338596344,-0.950381338596344,0
control_27_20220821,control,27,2022-08-21T00:00:00,2022-07-31T00:00:00,8,,,0,0.45955657958984375,0.45955657958984375,0
control_28_20220905,control,28,2022-09-05T00:00:00,2022-08-15T00:00:00,9,,,0,1.4304430484771729,1.4304430484771729,0
control_29_20221006,control,29,2022-10-06T00:00:00,2022-09-15T00:00:00,10,,,0,0.5950716733932495,0.5950716733932495,0
control_30_20251013,control,30,2025-10-13T00:00:00,2025-09-22T00:00:00,10,,,0,0.5742388367652893,0.5742388367652893,0
control_31_20231007,control,31,2023-10-07T00:00:00,2023-09-16T00:00:00,10,,,0,0.4247187674045563,0.4247187674045563,0
control_32_20221123,control,32,2022-11-23T00:00:00,2022-11-02T00:00:00,11,,,0,0.0006776052177883685,0.0006776052177883685,0
control_33_20241205,control,33,2024-12-05T00:00:00,2024-11-14T00:00:00,12,,,0,-0.3584910035133362,-0.3584910035133362,0
control_34_20241203,control,34,2024-12-03T00:00:00,2024-11-12T00:00:00,12,,,0,-1.731704831123352,-1.731704831123352,0
control_35_20250216,control,35,2025-02-16T00:00:00,2025-01-26T00:00:00,2,,,0,-1.1279881000518799,-1.1279881000518799,0
control_36_20220220,control,36,2022-02-20T00:00:00,2022-01-30T00:00:00,2,,,0,0.45911458134651184,0.45911458134651184,0
control_37_20230315,control,37,2023-03-15T00:00:00,2023-02-22T00:00:00,3,,,0,-0.6590970158576965,-0.6590970158576965,0
control_38_20230324,control,38,2023-03-24T00:00:00,2023-03-03T00:00:00,3,,,0,0.1290612369775772,0.1290612369775772,0
control_39_20230306,control,39,2023-03-06T00:00:00,2023-02-13T00:00:00,3,,,0,1.3070926666259766,1.3070926666259766,0
control_40_20230502,control,40,2023-05-02T00:00:00,2023-04-11T00:00:00,5,,,0,-0.5392537117004395,-0.5392537117004395,0
control_41_20220904,control,41,2022-09-04T00:00:00,2022-08-14T00:00:00,9,,,0,1.3287100791931152,1.3287100791931152,0
control_42_20251021,control,42,2025-10-21T00:00:00,2025-09-30T00:00:00,10,,,0,0.9086136221885681,0.9086136221885681,0
control_43_20221121,control,43,2022-11-21T00:00:00,2022-10-31T00:00:00,11,,,0,-3.470447540283203,-3.470447540283203,0
control_44_20241119,control,44,2024-11-19T00:00:00,2024-10-29T00:00:00,11,,,0,1.7774977684020996,1.7774977684020996,0
control_45_20221217,control,45,2022-12-17T00:00:00,2022-11-26T00:00:00,12,,,0,-1.3833200931549072,-1.3833200931549072,0
